我的频道,#genre#
广东珠江25,http://113.119.195.184:9999/rtp/239.77.0.1:5146
广东珠江40,http://113.101.160.29:8888/udp/239.77.0.1:5146
广东珠江37,http://116.28.124.174:8520/rtp/239.77.0.114:5146
广东珠江38,http://116.28.124.174:8520/rtp/239.77.0.1:5146
广东珠江51,http://113.119.195.184:9999/rtp/239.77.0.1:5146
广东珠江73,http://116.28.124.202:8520/rtp/239.77.0.1:5146
广东珠江75,http://116.28.124.174:8520/rtp/239.77.0.1:5146
广东珠江96,http://113.119.195.184:9999/rtp/239.77.0.114:5146
广东珠江24,http://116.28.124.202:8520/rtp/239.77.0.1:5146
广东珠江33,http://113.119.195.184:9999/rtp/239.77.0.114:5146
广东珠江34,http://116.28.124.202:8520/rtp/239.77.0.114:5146
广东珠江42,http://113.67.164.10:8888/udp/239.77.0.1:5146
广东珠江43,http://lzjzyh.xyz:8888/udp/239.20.0.64:3144
广东珠江61,http://113.67.164.10:8888/rtp/239.77.0.1:5146
广东珠江35,http://113.119.195.184:9999/rtp/239.77.1.94:5146
广东珠江36,http://116.28.124.202:8520/rtp/239.77.1.94:5146
广东珠江26,http://116.28.124.174:8520/rtp/239.77.1.94:5146
广东珠江58,http://113.119.195.184:9999/rtp/239.77.1.94:5146
广东珠江90,http://116.28.124.202:8520/rtp/239.77.1.94:5146
广东珠江23,http://lzjzyh.xyz:8888/udp/239.20.0.64:3144
广东珠江14,http://58.252.12.164:8000/udp/239.77.0.1:5146
